Country Name,Country Code,1990,RATING_1990,2020,RATING_2020,Difference
"Micronesia, Fed. Sts.",FSM,,O,92.02857143,J,-92.02857143
Palau,PLW,,O,90.02173913,J,-90.02173913
Northern Mariana Islands,MNP,,O,52.95652174,F,-52.95652174
Marshall Islands,MHL,,O,52.22222222,F,-52.22222222
Luxembourg,LUX,,O,36.50205761,D,-36.50205761
Puerto Rico,PRI,36.11386697,D,55.95603157,F,-19.8421646
Vietnam,VNM,28.80567759,C,47.22511046,E,-18.41943287
Bhutan,BTN,53.65066455,F,71.44939696,H,-17.79873241
Montenegro,MNE,46.54275093,E,61.48698885,G,-14.94423792
Cuba,CUB,19.16201117,B,31.23314066,D,-12.07112949
Dominican Republic,DOM,33.01366177,D,44.3821155,E,-11.36845373
South Sudan,SSD,,O,11.32565515,B,-11.32565515
Fiji,FJI,51.43349754,F,62.39846743,G,-10.96496989
Sint Maarten (Dutch part),SXM,,O,10.88235294,B,-10.88235294
Sudan,SDN,,O,9.928193419,A,-9.928193419
Spain,ESP,27.84050136,C,37.1738204,D,-9.33331904
Cabo Verde,CPV,3.816377171,A,11.34491315,B,-7.528535979
Guam,GUM,44.44444444,E,51.85185185,F,-7.40740741
Uruguay,URY,4.559478917,A,11.60438807,B,-7.044909153
Jamaica,JAM,48.13296399,E,55.11449677,F,-6.98153278
China,CHN,16.67332543,B,23.3405957,C,-6.66727027
St. Martin (French part),MAF,18.38235294,B,24.8,C,-6.41764706
Italy,ITA,25.80582095,C,32.13021865,D,-6.3243977
Bulgaria,BGR,30.07321703,D,35.86035372,D,-5.78713669
France,FRA,26.36394517,C,31.50904837,D,-5.1451032
Belarus,BLR,38.35535397,D,43.19440339,E,-4.83904942
Greece,GRC,25.59,C,30.26997673,D,-4.67997673
Ireland,IRL,6.701117724,A,11.35172013,B,-4.650602406
Pakistan,PAK,0.187759444,S,4.833307389,A,-4.645547945
Lithuania,LTU,31.03063178,D,35.14290276,D,-4.11227098
Estonia,EST,52.04057561,F,56.09385783,F,-4.05328222
Chile,CHL,20.50490093,C,24.49215367,C,-3.98725274
Latvia,LVA,51.01614252,F,54.93300048,F,-3.91685796
North Macedonia,MKD,35.86315376,D,39.71015067,D,-3.84699691
European Union,EUU,36.29933467,D,39.81160243,D,-3.51226776
Azerbaijan,AZE,10.23829266,B,13.69286423,B,-3.45457157
Denmark,DNK,12.53691908,B,15.711,B,-3.17408092
Turkey,TUR,25.70518301,C,28.8714837,C,-3.16630069
French Polynesia,PYF,39.46174863,D,42.46022727,E,-2.99847864
Switzerland,CHE,29.18110754,C,32.11633355,D,-2.93522601
Serbia,SRB,28.31008461,C,31.13023096,D,-2.82014635
India,IND,21.50484833,C,24.27022827,C,-2.76537994
St. Vincent and the Grenadines,VCT,70.61538462,H,73.17948718,H,-2.56410256
South Asia,SAS,16.26445526,B,18.81855363,B,-2.55409837
Kyrgyz Republic,KGZ,4.358706986,A,6.858081335,A,-2.499374349
Costa Rica,CRI,56.9408539,F,59.43732863,F,-2.49647473
Slovenia,SVN,58.98709037,F,61.47225919,G,-2.48516882
Romania,ROU,27.77850447,C,30.11582928,D,-2.33732481
Hungary,HUN,20.18359853,C,22.49627438,C,-2.31267585
Eswatini,SWZ,26.81046512,C,28.92790698,C,-2.11744186
Moldova,MDA,9.704898083,A,11.75297169,B,-2.048073607
New Zealand,NZL,35.59405264,D,37.57012647,D,-1.97607383
Poland,POL,28.9986614,C,30.97298886,D,-1.97432746
Nepal,NPL,39.66433566,D,41.59072201,E,-1.92638635
Finland,FIN,71.81893693,H,73.73321927,H,-1.91428234
United Kingdom,GBR,11.48266027,B,13.18563221,B,-1.70297194
Austria,AUT,45.7213611,E,47.25096946,E,-1.52960836
Liechtenstein,LIE,40.625,E,41.875,E,-1.25
Cyprus,CYP,17.43614719,B,18.67207792,B,-1.23593073
Uzbekistan,UZB,7.15796897,A,8.375026955,A,-1.217057985
Croatia,HRV,33.08889286,D,34.26594805,D,-1.17705519
