month,year,rain_inches
1,2000,2.6119
1,2001,2.94
1,2002,1.69
1,2003,2.3
1,2004,2.1
1,2005,4.59
1,2006,4.96
1,2007,3.69
1,2008,2.85
1,2009,18.84
1,2010,2.0428
1,2011,4.6326
1,2012,3.213
1,2013,2.7315
1,2014,3.1922
1,2015,0.08
1,2016,4.42
1,2017,4.84
1,2018,1.9727
1,2019,3.612
1,2020,1.9246
1,2021,2.3018
2,2000,1.5018
2,2001,1.91
2,2002,0.71
2,2003,4.53
2,2004,2.68
2,2005,2.96
2,2006,2.89
2,2007,1.99
2,2008,5.95
2,2009,0.87
2,2010,6.3422
2,2011,3.351
2,2012,1.3528
2,2013,4.2426
2,2014,5.432
2,2015,2.04
2,2016,4.41
2,2017,2.4
2,2018,5.7525
2,2019,3.1424
2,2020,2.5457
2,2021,5.1534
3,2000,2.8613
3,2001,6.87
3,2002,3.51
3,2003,4.44
3,2004,2.99
3,2005,4.46
3,2006,0.8
3,2007,5.33
3,2008,4.08
3,2009,1.75
3,2010,10.6322
3,2011,6.1822
3,2012,0.9012
3,2013,2.8529
3,2014,3.6716
3,2015,4.72
3,2016,1.18
3,2017,5.25
3,2018,5.1733
3,2019,3.8728
3,2020,3.6643
3,2021,3.4925
4,2000,3.5318
4,2001,1.57
4,2002,3.02
4,2003,3.25
4,2004,4.16
4,2005,4.67
4,2006,5.56
4,2007,13.05
4,2008,2.64
4,2009,4.69
4,2010,2.9912
4,2011,5.1129
4,2012,3.5117
4,2013,1.3114
4,2014,7.5419
4,2015,2.09
4,2016,1.76
4,2017,3.57
4,2018,5.7838
4,2019,4.5357
4,2020,4.4959
4,2021,2.7044
5,2000,4.5017
5,2001,2.03
5,2002,3.68
5,2003,3.65
5,2004,5.63
5,2005,1.57
5,2006,4.62
5,2007,1.88
5,2008,4.01
5,2009,5.17
5,2010,2.9915
5,2011,4.901
5,2012,5.2126
5,2013,8.033
5,2014,4.7723
5,2015,1.86
5,2016,3.5
5,2017,6.38
5,2018,3.5249
5,2019,6.9144
5,2020,1.7637
5,2021,4.1232
6,2000,4.771
6,2001,5.12
6,2002,4.47
6,2003,9.99
6,2004,3.02
6,2005,3.1
6,2006,8.23
6,2007,6.54
6,2008,4.55
6,2009,9.88
6,2010,2.2012
6,2011,3.2113
6,2012,2.972
6,2013,10.1321
6,2014,4.2617
6,2015,4.64
6,2016,2.6
6,2017,4.76
6,2018,3.1548
6,2019,5.6271
6,2020,1.6632
6,2021,2.7325
7,2000,6.7012
7,2001,2.04
7,2002,1.06
7,2003,3.66
7,2004,7.63
7,2005,1.98
7,2006,6.16
7,2007,5.89
7,2008,2.84
7,2009,7.11
7,2010,2.9314
7,2011,3.0614
7,2012,4.1817
7,2013,2.9125
7,2014,5.6108
7,2015,4.04
7,2016,6.97
7,2017,4.19
7,2018,7.4536
7,2019,5.8932
7,2020,6.223
7,2021,10.9638
8,2000,3.7916
8,2001,2.55
8,2002,4.88
8,2003,5.84
8,2004,3.04
8,2005,3.95
8,2006,6.08
8,2007,7.2
8,2008,5.58
8,2009,4.22
8,2010,4.1727
8,2011,19.0826
8,2012,2.9408
8,2013,2.8521
8,2014,2.2511
8,2015,2.46
8,2016,2.02
8,2017,3.3507
8,2018,8.5353
8,2019,3.7332
8,2020,5.0332
8,2021,10.3437
9,2000,5.6014
9,2001,5.3
9,2002,5.16
9,2003,5.88
9,2004,11.51
9,2005,0.48
9,2006,3.69
9,2007,1.81
9,2008,7.05
9,2009,2.26
9,2010,3.6812
9,2011,9.3824
9,2012,4.2821
9,2013,2.9509
9,2014,1.2509
9,2015,3.27
9,2016,2.8
9,2017,2.0015
9,2018,6.1761
9,2019,0.9524
9,2020,3.9425
9,2021,10.0129
10,2000,0.6405
10,2001,0.66
10,2002,7.09
10,2003,5.04
10,2004,1.19
10,2005,16.72
10,2006,7.08
10,2007,4.65
10,2008,3.62
10,2009,5.58
10,2010,4.9829
10,2011,5.8328
10,2012,2.9225
10,2013,0.3612
10,2014,5.7617
10,2015,3.93
10,2016,4.02
10,2017,4.1709
10,2018,2.9633
10,2019,5.4748
10,2020,4.9941
10,2021,5.2625
11,2000,3.3005
11,2001,1.36
11,2002,5.06
11,2003,4.27
11,2004,4.03
11,2005,4.47
11,2006,7.22
11,2007,3.47
11,2008,3.53
11,2009,1.61
11,2010,2.1614
11,2011,3.0525
11,2012,1.8105
11,2013,3.1619
11,2014,4.4515
11,2015,1.99
11,2016,5.31
11,2017,1.5612
11,2018,7.6244
11,2019,1.9516
11,2020,4.0123
11,2021,1.1429
12,2000,3.193
12,2001,2.17
12,2002,3.3
12,2003,4.63
12,2004,3.65
12,2005,4.6
12,2006,2.15
12,2007,5.22
12,2008,7.04
12,2009,7.53
12,2010,4.5411
12,2011,3.9312
12,2012,4.7443
12,2013,4.8527
12,2014,5.9928
12,2015,4.74
12,2016,2.87
12,2017,2.2123
12,2018,6.4837
12,2019,7.0448
12,2020,4.5831
12,2021,1.4051
